Company Name,Symbol,Date Added,Long/Short,Price Added,Last Trade,Date Closed,Price Closed,Change
Sea Limited ADR,SE,2020-01-02,Long,$40.33,$196.32,2021-01-04,$196.32,386.78%
DocuSign,DOCU,2020-01-02,Long,$75.34,$221.23,2021-01-04,$221.23,193.64%
Macys,M,2021-01-04,Long,$11.21,$27.77,2022-01-03,$27.77,147.73%
HubSpot,HUBS,2020-01-02,Long,$160.98,$384.46,2021-01-04,$384.46,138.82%
Shopify,SHOP,2023-01-03,Long,$35.44,$73.47,2024-01-02,$73.47,107.31%
Generac Holdlings,GNRC,2019-01-02,Long,$50.16,$101.67,2020-01-02,$101.67,102.69%
Ubiquiti Inc,UI,2019-01-02,Long,$99.23,$190.79,2020-01-02,$190.79,92.27%
GDS Holdings,GDS,2020-01-02,Long,$53.15,$93.46,2021-01-04,$93.46,75.84%
WillScot Corporation,WSC,2021-01-04,Long,$23.12,$40.23,2022-01-03,$40.23,74.01%
Celsius Holdings,CELH,2023-01-03,Long,$33.54,$57.88,2024-01-02,$57.88,72.57%
SiteOne Landscape Supply,SITE,2020-01-02,Long,$90.67,$154.02,2021-01-04,$154.02,69.87%
FMC Corp.,FMC,2017-01-03,Long,$56.97,$95.65,2018-01-02,$95.65,67.90%
Acuity Brands Inc,AYI,2015-01-02,Long,$139.32,$231.71,2015-12-31,$231.71,66.31%
Quanta Services,PWR,2021-01-04,Long,$68.27,$112.86,2022-01-03,$112.86,65.31%
DexCom,DXCM,2020-01-02,Long,$219.66,$359.75,2021-01-04,$359.75,63.78%
Planet Fitness,PLNT,2018-01-02,Long,$33.01,$53.30,2018-12-31,$53.30,61.47%
VMware,VMW,2017-01-03,Long,$78.70,$126.69,2018-01-02,$126.69,60.98%
Axon Enterprise,AAXN,2020-01-02,Long,$75.36,$117.72,2021-01-04,$117.72,56.21%
Zebra Technologies,ZBRA,2021-01-04,Long,$377.91,$584.74,2022-01-03,$584.74,54.73%
Pioneer Natural Resources Company,PXD,2016-01-04,Long,$123.49,$180.88,2016-12-30,$180.88,46.47%
Ulta Beauty,ULTA,2021-01-04,Long,$282.22,$413.25,2022-01-03,$413.25,46.43%
Agilysys,AGYS,2022-09-30,Long,$54.63,$79.59,2023-01-03,$79.59,45.69%
Fabrinet,FN,2023-01-03,Long,$130.21,$187.79,2024-01-02,$187.79,44.22%
FIRST REPUBLIC BANK,FRC,2016-01-04,Long,$63.97,$91.91,2016-12-30,$91.91,43.68%
Bright Horizons,BFAM,2019-01-02,Long,$109.17,$152.43,2020-01-02,$152.43,39.63%
Monolithic Power,MPWR,2017-01-03,Long,$83.09,$115.50,2018-01-02,$115.50,39.01%
New Relic,NEWR,2018-01-02,Long,$58.35,$81.06,2018-12-31,$81.06,38.92%
Hubbell,HUBB,2023-01-03,Long,$235.11,$325.29,2024-01-02,$325.29,38.36%
Dave & Buster's,PLAY,2016-01-04,Long,$41.70,$56.66,2016-12-30,$56.66,35.88%
CyberArk Software,CYBR,2024-01-02,Long,$213.89,$281.31,0000-00-00,$0.00,31.52%
Snyders Lance,LNCE,2017-01-03,Long,$38.42,$50.06,2018-01-02,$50.06,30.30%
Aptiv PLC,APTV,2021-01-04,Long,$128.93,$166.42,2022-01-03,$166.42,29.08%
RPC Inc.,RES,2017-01-03,Long,$20.30,$26.01,2018-01-02,$26.01,28.13%
Smith (A.O.) Corporation,AOS,2016-01-04,Long,$37.45,$47.63,2016-12-30,$47.63,27.18%
Adobe Systems Incorporated,ADBE,2015-01-02,Long,$72.24,$91.66,2015-12-31,$91.66,26.88%
e.l.f. Beauty,ELF,2024-01-02,Long,$137.61,$174.52,0000-00-00,$0.00,26.82%
SPS Commerce,SPSC,2021-01-04,Long,$109.56,$138.48,2022-01-03,$138.48,26.40%
Omega Healthcare,OHI,2019-01-02,Long,$33.79,$41.88,2020-01-02,$41.88,23.94%
Qualys,QLYS,2018-01-02,Long,$60.93,$75.25,2018-12-31,$75.25,23.50%
Intercontinental,ICE,2019-01-02,Long,$75.20,$92.67,2020-01-02,$92.67,23.23%
